start,end,speaker,text
0.14,1.64,0,Are this cool.
2.77,3.12,0,Hello?
3.41,4.08,0,How's it going?
5.14,6.6,1,"Hi, we're recording."
7.03,7.32,0,Yeah.
9.11,9.6,1,Awesome.
10.11,10.4,1,Yeah.
10.5,10.72,1,Why?
11.38,12.08,0,"Oh, sorry."
12.34,15.6,0,"I'm recording because I, because I want to collect some test data."
15.78,19.16,0,"So like, because I'm debugging because I'm debugging zoom."
21.82,22.11,0,Yeah.
22.34,22.95,0,Basically.
23.06,23.35,0,Okay.
25.59,25.79,1,What?
26.25,27.43,1,You're debugging zoom.
28,28.35,0,Sorry.
28.57,32.07,0,"The zoom app that we, that we built."
33.33,33.62,1,Okay.
33.81,34.1,1,Okay.
34.49,35.1,0,"Yeah, yeah, yeah."
35.1,40.58,0,"So right now I have the zoom, like the build better zoom app running, but it's like a, it's a test version of it."
41.67,52.85,0,"And it's like recording, like whenever our voices switch on the video and we use the information of like, when our voices switch to make our transcriptions more accurate."
54.15,54.73,1,"Oh, nice."
55,55.29,1,Okay.
55.72,56.01,1,Yeah.
56.69,58.69,1,"I was like, wait, do you got some something going on?"
63.27,63.56,0,Yeah.
64.38,64.8,1,So yeah.
64.92,71.4,1,"I mean, I, we pretty much already like met, you know, before we had our, our call, our discussion, our conversation."
71.67,71.96,1,Yeah.
72.1,83.87,1,"So I really just wanted to get in with you to learn a little bit more about your hiring cadence and what, what the work flow is that you've got set up."
84.17,84.39,1,Yep.
85.09,89.35,1,"So that I can actually, you know, be an asset and, and help in this area."
89.82,90.11,1,Yeah.
90.55,103.52,1,"I know that most of my role will be, you know, assisting and supporting Spencer, but that also boils down to, you know, recruiting and trying to get some grid in engineers in here."
103.63,104.12,1,Totally.
104.74,109.92,1,"And so, I mean, I really just want to find out like exactly what systems you're using."
111.04,113.04,1,I saw that you sent over the applicant tracker.
113.04,114.28,1,So I really appreciate that.
114.5,114.72,1,Yep.
115.11,122.6,1,"Like who you've reached out to, like, which fast employees that you have talked to and things like that."
130.3,130.59,0,Dope.
130.66,130.95,0,Yeah.
132.12,132.79,0,Let's see here.
137.6,138.58,0,Let me just think really quickly.
141.13,157.02,1,"So like, whenever you I'm, I'm a huge like documentation per, I need to have things like in writing for me to be able to like, like have everything like a, like a good flow set up."
158.8,171.97,1,"And so I guess where I wanted to start was like, okay, well, first of all, you know, I, I did, you know, notice the, the flow low that you'd set up in our, in the last, last Monday commitments meeting."
172.27,172.49,1,Yep.
174.11,183.24,1,"And so I guess we can start off like with the tracker, like, I don't see that there's anyone in there currently, but I know that we have had a few conversations."
184.3,186.76,1,So where are those people being wronged?
187.51,187.8,0,Yeah.
187.86,193.76,0,"So I just to give you an idea of the current state, let me share my screen."
194.59,194.88,1,Okay.
197.1,199.27,0,"Do, do, do number one."
199.46,199.75,0,Okay.
201.8,202.58,0,Can you see my screen?
203.33,203.62,1,Yeah.
204.17,204.46,0,Cool.
206.3,208.16,0,How do I take this out of the way?
208.21,208.84,0,There we go.
209.1,209.32,0,Bye.
209.42,209.76,0,All right.
222.76,223.05,0,Cool.
223.16,223.45,0,Okay.
224.39,241.09,0,"So the way that this is supposed to work is Spencer, after he has a phone screen with them is supposed to add it to this and effectively nobody so far."
241.13,246.62,0,"I haven't, I like given that Spencer hasn't added it, I would add it."
246.89,258.17,0,"Like I would add a column whenever they, like, whenever I talk to them in the tech cell and tech screen, but I haven't talked to anybody that Spencer has approved so far."
258.85,270.04,0,"I think the first conversation that I'm going to have is on Tuesday, but ideally whenever Spencer has a call, I would like it to be in the applicant tracker if that's possible."
271.11,271.4,1,Yeah.
271.79,272.76,1,"Okay, perfect."
275.1,283.96,0,"And then I guess the, the couple, the sorry, words are hard this morning."
285.15,285.52,1,It's okay.
288.01,290.48,0,There are two roles that we're looking for right now.
291.7,294.91,0,There's a frontend engineer and there's a backend engineer.
295.38,295.67,0,Yeah.
295.91,299.15,0,"Specifically, we're looking for two frontend engineers and two backend engineers."
299.55,301.87,0,"One of them, one of those frontend engineers is Teddy right now."
303.93,325.24,0,"And we like, ideally like right now we're actively looking for backend engineers, but if a frontend front end engineer who we like, like comes through the pipeline, we're sort of opportunistically adding them here, but effectively the information that you would need to know to add it to this is just like their CV."
325.42,330,0,And then also Spencer's Spencer's notes on the applicant.
331.91,332.2,1,Okay.
332.22,335.03,1,So you said Teddy is a front end app engineer.
335.17,338.71,1,So that means that we're looking for one more front end and two back in.
338.97,339.19,1,OK.
339.62,340.51,0,"Yeah, yeah."
342.53,342.82,0,Yeah.
343,357.64,0,"So Alison, just, just as an example, the only person right now in the applicant tracker is this person, Alison Craig, and she's a friend end engineer be who we like opportunistically talk to because she just like reached out to us on the fly."
357.78,366.44,0,"So she's going to be interviewing with Teddy on Mar or next Tuesday, I guess."
366.48,372.48,0,"I haven't really written that down anywhere, but we do have those."
375.35,375.64,1,Okay.
375.86,382.91,1,"So the texts and call assessment, is that like a, like a take home assessment similar to the one that I did?"
384.15,385.97,1,"Or is that the, is that the one with Teddy?"
387.27,390.05,0,"No, that's the one with Teddy actually."
390.58,403.68,0,"Sorry, this, this sort of, we adapted this, we adapted this template from our hiring tracker for the AE role."
404.87,405.16,1,Yeah.
406.06,408.98,0,"And sorry, EA role."
410.96,415.5,0,"And I think there's some terminology that's still Wait, hold on."
417.8,422.5,0,"So backend engineer at template, let's see here."
422.76,441.09,0,"So There's gonna be the cell tech screen and there's gonna be the technical assessment and that's going to be Nick hill And then for the front engineer, it's going to be Teddy."
444.18,444.71,1,"Okay, perfect."
446.46,446.75,1,Yeah.
446.81,449.15,1,That's that would be better for optics.
449.15,454.15,1,"So I especially like right now, since I'm just coming in trying to understand."
455.78,456.27,1,Perfect.
466.72,467.01,2,Cool.
482.47,482.82,0,Great.
483.2,504.21,0,"And then I had this with, That was on Thursday, April 7th."
509.26,509.55,0,Cool.
511.45,511.74,0,Okay.
516.52,519.74,1,So can we remove the culture fit column?
520.24,520.46,1,Yep.
520.6,526.47,1,And then edit that to tech In comms assessment to say Teddy maybe.
527.9,528.19,0,Yeah.
534.12,547.05,0,"No, I really appreciate that because like, we're like, this is all implicit knowledge that I just like, I glaze over it because like, I just, I, I know it's I know like the thing that I'm trying to get to, but I'm making it explicit for everybody is good."
547.91,550.13,0,"So you're totally, thank you."
556.32,556.61,1,Okay.
563.27,563.49,0,Yep.
563.56,565.77,1,"What, what would that, what would that be like?"
565.9,571.96,1,Would that be a thumbs up from all four of you?
573.81,574.61,0,There'll be three of us.
574.66,577.84,0,It'll be me Teddy.
579.69,582.31,1,So Adam does not need to give the thumb the thumbs up.
582.38,582.67,1,Yeah.
